strain,stress
-3.3207220321630366e-09,-1.6924662306044436
-3.5983098659576347e-09,-1.833939138075479
-3.752843841373609e-09,-1.912697209073839
-3.58543204414931e-09,-1.8273706900451039
-3.189062865859475e-09,-1.625349508952801
-2.8953557646527375e-09,-1.4756534642605466
-2.9440572846346733e-09,-1.5004757533445183
-3.2342860263049188e-09,-1.6483995184639884
-3.450085298552788e-09,-1.758387862966505
-3.420206281398923e-09,-1.743159075676023
-3.285519588101774e-09,-1.674511916297775
-3.280772818129915e-09,-1.6720925980370813
-3.417847305660083e-09,-1.7419567799195004
-3.4812477238083932e-09,-1.7742706797989323
-3.3396744269384445e-09,-1.7021135319254397
-3.152756525263094e-09,-1.6068452436679883
-3.169132810151514e-09,-1.6151919508648018
-3.3511430340647574e-09,-1.707958967991401
-3.333306884769581e-09,-1.6988681926301892
-2.8391998209644466e-09,-1.4470320542695034
-2.082528163937921e-09,-1.0613748878789269
-1.6304657470051206e-09,-0.8309707227148831
-1.829103770273484e-09,-0.9322126263358728
-2.4482423078323674e-09,-1.2477744017118275
-2.9792576010840623e-09,-1.518420433816385
-3.238458921710958e-09,-1.6505288625910632
-3.5339898527550752e-09,-1.8011532640562131
-4.1740400927701795e-09,-2.1273582589007978
-4.929893465779673e-09,-2.5125717772147653
-5.177494786601341e-09,-2.638758261213265
-4.6243008251431594e-09,-2.356807212605637
-3.7541940044308664e-09,-1.9133349287777808
-3.383551573955757e-09,-1.7244283968666239
-3.774409651379446e-09,-1.9236404656370814
-4.336880990736066e-09,-2.210319123075839
-4.315071875507166e-09,-2.1992031464256745
-3.6924562355092696e-09,-1.8818697133815776
-3.2504806830049907e-09,-1.6566058546753266
-3.669604233598583e-09,-1.870224212189549
-4.690325506855713e-09,-2.3904612540592165
-5.322790738639365e-09,-2.712805999735599
-4.906144420848105e-09,-2.500450285075373
-3.832533341984714e-09,-1.953256818269866
-3.1177121620284058e-09,-1.588932342902207
-3.3049658469242566e-09,-1.68437171737511
-3.930866553714147e-09,-2.0033791733091117
-4.118987936549763e-09,-2.0992600898641185
-3.592359468047724e-09,-1.8308489414986602
-2.9673173163773287e-09,-1.512280527439046
-3.047920982614536e-09,-1.5533632354660478
-3.9496959662401665e-09,-2.0129772378031023
-5.000833082986262e-09,-2.5487136715729255
-5.444723821049478e-09,-2.774947073041955
-5.115989963587689e-09,-2.6073984365278093
-4.414209081179313e-09,-2.2497171026749863
-3.765145548886407e-09,-1.9189062878039589
-3.271373488053879e-09,-1.667244604849316
-2.8818735295057078e-09,-1.468728142801909
-2.717609939519015e-09,-1.3850080892743257
-3.0534273680751577e-09,-1.5561670662534604
-3.97296890686637e-09,-2.0248355059498198
-5.165154082632918e-09,-2.6324589913476464
-6.147219452452293e-09,-3.132958980980314
-6.660142812026472e-09,-3.3943564504499126
-6.790226650190321e-09,-3.4606497488868158
-6.738256398172764e-09,-3.434161651684689
-6.569764130923847e-09,-3.348284912577953
-6.2193538522778226e-09,-3.1696889888536375
-5.642330282565557e-09,-2.8755946181650467
-4.863929526615488e-09,-2.478865436166663
-3.925449484016614e-09,-2.0005514547845205
-2.934190593184736e-09,-1.4953414861359464
-2.22791133455883e-09,-1.1353780101175845
-2.3440118379303585e-09,-1.194553205514539
-3.5922318084623896e-09,-1.8307396742257545
-5.563854754186869e-09,-2.83561410232168
-7.18651794573835e-09,-3.6626066406090003
-7.468749252112754e-09,-3.806431809476724
-6.305709214366152e-09,-3.2136593576892336
-4.549125756452647e-09,-2.3183826913420726
-3.2496493373969695e-09,-1.6560872238606743
-2.8110808262179168e-09,-1.432566431828677
-2.8439478136251888e-09,-1.4493180088507558
-2.754284197689202e-09,-1.403619521780761
-2.3981615013922273e-09,-1.222118690195483
-2.1729691342446064e-09,-1.1073478230596991
-2.5448416388863592e-09,-1.296882610960676
-3.5312034407568256e-09,-1.7996057146615276
-4.616316372022404e-09,-2.3526553155761163
-5.136377597009671e-09,-2.617713330828601
-4.782809884701501e-09,-2.437508058226847
-3.82180316378681e-09,-1.947707667061123
-2.8785729958564158e-09,-1.4669710431627487
-2.470970964608234e-09,-1.2592293757349236
-2.6650210891655183e-09,-1.3581322896613268
-3.119094407420346e-09,-1.589562507126473
-3.446453307438753e-09,-1.7564089414074668
-3.5492485741506694e-09,-1.808800965504195
-3.6274881682099768e-09,-1.8486775860763311
-3.905712593689465e-09,-1.9904809120464309
-4.400828691993253e-09,-2.242827199899847
-4.970319687126431e-09,-2.5330790247077464
